ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Domain,Phylum,Class,Order,Family,Genus,Species,DADA2_ID,Compartment,Treatment,ASV_Label,Condition,Label_full
ASV_902,9.118407375020949,-19.013210639186788,4.087897115966977,-4.651098131829886,3.301721604991152e-6,2.8253303448424284e-4,d__Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,B. oleracea,ad2281ce47473ddbb0457df697779754,Root,meJA 1mM,ASV_902 (Beijerinckiaceae),B. oleracea-Root-meJA 1mM,Beijerinckiaceae | Methylobacterium-Methylorubrum_ASV-902
ASV_902,9.118407375020949,-19.467046175962903,4.087897115966977,-4.762117446627089,1.9157212779144137e-6,3.120231031403101e-4,d__Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,B. oleracea,ad2281ce47473ddbb0457df697779754,Root,Caterpillar OS,ASV_902 (Beijerinckiaceae),B. oleracea-Root-Caterpillar OS,Beijerinckiaceae | Methylobacterium-Methylorubrum_ASV-902
ASV_320,30.616855510322488,22.696893743779732,3.994890207521182,5.681481233463758,1.3353316877458793e-8,4.912351446295154e-6,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,Burkholderia Complex,A. thaliana,1103ca8bb142d451387040be2c4d353b,Root,meJA 0.1mM,ASV_320 (Burkholderiaceae),A. thaliana-Root-meJA 0.1mM,Burkholderiaceae | Burkholderia Complex_ASV-320
ASV_1464,3.590044598459217,20.792517054913183,3.997386649606962,5.201527617289056,1.976570932313226e-7,2.644112842635375e-5,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,Cupriavidus,A. thaliana,44a3ce117ff47c43331eab21259fb5c9,Root,meJA 0.1mM,ASV_1464 (Burkholderiaceae),A. thaliana-Root-meJA 0.1mM,Burkholderiaceae | Cupriavidus_ASV-1464
ASV_16,80.19497170404169,21.07913455443531,2.6417924068822454,7.979103316188343,1.4740015923628252e-15,4.780187164032642e-12,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,Burkholderia Complex,A. thaliana,47e1a48800fe5d17f09e178ed259ae4b,Soil,meJA 0.1mM,ASV_16 (Burkholderiaceae),A. thaliana-Soil-meJA 0.1mM,Burkholderiaceae | Burkholderia Complex_ASV-16
ASV_320,19.43894781672546,21.257886883561998,3.57218129994401,5.9509540806048085,2.6658387776686786e-9,4.322657577989762e-6,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,Burkholderia Complex,A. thaliana,1103ca8bb142d451387040be2c4d353b,Soil,meJA 0.1mM,ASV_320 (Burkholderiaceae),A. thaliana-Soil-meJA 0.1mM,Burkholderiaceae | Burkholderia Complex_ASV-320
ASV_320,30.616855510322488,19.14043525872529,4.002650994840843,4.781939590385489,1.7361185737761783e-6,3.729316244053829e-5,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,Burkholderia Complex,A. thaliana,1103ca8bb142d451387040be2c4d353b,Root,meJA 1mM,ASV_320 (Burkholderiaceae),A. thaliana-Root-meJA 1mM,Burkholderiaceae | Burkholderia Complex_ASV-320
ASV_16,1345.486000605874,8.85370355680494,2.885575264559581,3.0682629094951923,0.002153071020350458,0.04219263736370985,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,Burkholderia Complex,A. thaliana,47e1a48800fe5d17f09e178ed259ae4b,Root,meJA 1mM,ASV_16 (Burkholderiaceae),A. thaliana-Root-meJA 1mM,Burkholderiaceae | Burkholderia Complex_ASV-16
ASV_16,80.19497170404169,23.59940411830918,2.6402861788759098,8.938199316089486,3.955631315011475e-19,1.2828112354582213e-15,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,Burkholderia Complex,A. thaliana,47e1a48800fe5d17f09e178ed259ae4b,Soil,meJA 1mM,ASV_16 (Burkholderiaceae),A. thaliana-Soil-meJA 1mM,Burkholderiaceae | Burkholderia Complex_ASV-16
ASV_320,19.43894781672546,20.786138894891632,3.5726386683621283,5.818147544269013,5.950336893253693e-9,9.648471272410863e-6,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,Burkholderia Complex,A. thaliana,1103ca8bb142d451387040be2c4d353b,Soil,meJA 1mM,ASV_320 (Burkholderiaceae),A. thaliana-Soil-meJA 1mM,Burkholderiaceae | Burkholderia Complex_ASV-320
ASV_616,6.317047379576502,22.1387714031245,4.448228697278199,4.976985876798751,6.458203187552257e-7,1.3357180326205388e-4,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,Burkholderia Complex,A. thaliana,c8b70b28b3c5a8f23135035b85ba090a,Root,Caterpillar OS,ASV_616 (Burkholderiaceae),A. thaliana-Root-Caterpillar OS,Burkholderiaceae | Burkholderia Complex_ASV-616
ASV_16,80.19497170404169,21.642723330595754,2.6411380569135297,8.194468772256357,2.5170230422887107e-16,8.162705726142289e-13,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,Burkholderia Complex,A. thaliana,47e1a48800fe5d17f09e178ed259ae4b,Soil,Caterpillar OS,ASV_16 (Burkholderiaceae),A. thaliana-Soil-Caterpillar OS,Burkholderiaceae | Burkholderia Complex_ASV-16
ASV_320,19.43894781672546,18.651379978316854,3.578225658306687,5.212466110128781,1.8634661879963292e-7,3.021610423836048e-4,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,Burkholderia Complex,A. thaliana,1103ca8bb142d451387040be2c4d353b,Soil,Caterpillar OS,ASV_320 (Burkholderiaceae),A. thaliana-Soil-Caterpillar OS,Burkholderiaceae | Burkholderia Complex_ASV-320
ASV_1030,21.19813755986103,23.07484986175165,3.9954484569072695,5.775284079027527,7.682335915210914e-9,3.575487173871079e-7,d__Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,Caulobacteraceae,uncultured,A. thaliana,8e2b5c0e954ba820672a80821c2b81b0,Root,meJA 1mM,ASV_1030 (Caulobacteraceae),A. thaliana-Root-meJA 1mM,Caulobacteraceae | uncultured_ASV-1030
ASV_1429,3.8090335752800324,-21.48839263079935,3.997218277449819,-5.375836679229013,7.622786602708319e-8,1.3196388806923874e-5,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,Cellvibrionaceae,Cellvibrio,A. thaliana,2eb5f63d947550207e8ab28d4dffcf73,Root,meJA 0.1mM,ASV_1429 (Cellvibrionaceae),A. thaliana-Root-meJA 0.1mM,Cellvibrionaceae | Cellvibrio_ASV-1429
ASV_1429,3.8090335752800324,-20.990515189280543,3.997218277449819,-5.251280698804435,1.5104529211540685e-7,3.443216148834887e-6,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,Cellvibrionaceae,Cellvibrio,A. thaliana,2eb5f63d947550207e8ab28d4dffcf73,Root,meJA 1mM,ASV_1429 (Cellvibrionaceae),A. thaliana-Root-meJA 1mM,Cellvibrionaceae | Cellvibrio_ASV-1429
ASV_1429,3.8090335752800324,-20.861770065482062,4.4877824389758985,-4.648569833577465,3.342444607832853e-6,2.893180729662378e-4,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,Cellvibrionaceae,Cellvibrio,A. thaliana,2eb5f63d947550207e8ab28d4dffcf73,Root,Caterpillar OS,ASV_1429 (Cellvibrionaceae),A. thaliana-Root-Caterpillar OS,Cellvibrionaceae | Cellvibrio_ASV-1429
