"","ASV","Plant_Species","Compartment","Treatment","baseMean","log2FoldChange","lfcSE","stat","Domain","Phylum","Class","Order","Family","Genus"
"1","ASV_902","B. oleracea","Root","meJA 1mM",9.11840737502095,-19.0132106391868,4.08789711596698,-4.65109813182989,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"2","ASV_902","B. oleracea","Root","Caterpillar OS",9.11840737502095,-19.4670461759629,4.08789711596698,-4.76211744662709,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"3","ASV_320","A. thaliana","Root","meJA 0.1mM",30.6168555103225,22.6968937437797,3.99489020752118,5.68148123346376,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia Complex"
"4","ASV_1464","A. thaliana","Root","meJA 0.1mM",3.59004459845922,20.7925170549132,3.99738664960696,5.20152761728906,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
"5","ASV_16","A. thaliana","Soil","meJA 0.1mM",80.1949717040417,21.0791345544353,2.64179240688225,7.97910331618834,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia Complex"
"6","ASV_320","A. thaliana","Soil","meJA 0.1mM",19.4389478167255,21.257886883562,3.57218129994401,5.95095408060481,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia Complex"
"7","ASV_320","A. thaliana","Root","meJA 1mM",30.6168555103225,19.1404352587253,4.00265099484084,4.78193959038549,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia Complex"
"8","ASV_16","A. thaliana","Root","meJA 1mM",1345.48600060587,8.85370355680494,2.88557526455958,3.06826290949519,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia Complex"
"9","ASV_16","A. thaliana","Soil","meJA 1mM",80.1949717040417,23.5994041183092,2.64028617887591,8.93819931608949,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia Complex"
"10","ASV_320","A. thaliana","Soil","meJA 1mM",19.4389478167255,20.7861388948916,3.57263866836213,5.81814754426901,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia Complex"
"11","ASV_616","A. thaliana","Root","Caterpillar OS",6.3170473795765,22.1387714031245,4.4482286972782,4.97698587679875,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia Complex"
"12","ASV_16","A. thaliana","Soil","Caterpillar OS",80.1949717040417,21.6427233305958,2.64113805691353,8.19446877225636,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia Complex"
"13","ASV_320","A. thaliana","Soil","Caterpillar OS",19.4389478167255,18.6513799783169,3.57822565830669,5.21246611012878,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia Complex"
