"Sub_community","Plant_species","Sample_type","MeJA_treatment","sample","ASV","abundance","Domain","Phylum","Class","Order","Family","Genus","Species","Genus_display","Genus_ASV_label","Family_display","Family_display_short"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","11_Soil","ASV_5",56,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","Rhizobacter","Rhizobacter_ASV-5","Comamonadaceae","Comam_ASV-5"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","14_Soil","ASV_5",76,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","Rhizobacter","Rhizobacter_ASV-5","Comamonadaceae","Comam_ASV-5"
"at_soil","Arabidopsis_thaliana","Soil","control","15_Soil","ASV_5",119,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","Rhizobacter","Rhizobacter_ASV-5","Comamonadaceae","Comam_ASV-5"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","17_Soil","ASV_5",100,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","Rhizobacter","Rhizobacter_ASV-5","Comamonadaceae","Comam_ASV-5"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","19_Soil","ASV_5",103,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","Rhizobacter","Rhizobacter_ASV-5","Comamonadaceae","Comam_ASV-5"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","2_Soil","ASV_5",96,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","Rhizobacter","Rhizobacter_ASV-5","Comamonadaceae","Comam_ASV-5"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","20_Soil","ASV_5",93,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","Rhizobacter","Rhizobacter_ASV-5","Comamonadaceae","Comam_ASV-5"
"at_soil","Arabidopsis_thaliana","Soil","control","21_Soil","ASV_5",103,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","Rhizobacter","Rhizobacter_ASV-5","Comamonadaceae","Comam_ASV-5"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","27_Soil","ASV_5",62,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","Rhizobacter","Rhizobacter_ASV-5","Comamonadaceae","Comam_ASV-5"
"at_soil","Arabidopsis_thaliana","Soil","control","28_Soil","ASV_5",98,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","Rhizobacter","Rhizobacter_ASV-5","Comamonadaceae","Comam_ASV-5"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","29_Soil","ASV_5",72,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","Rhizobacter","Rhizobacter_ASV-5","Comamonadaceae","Comam_ASV-5"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","30_Soil","ASV_5",135,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","Rhizobacter","Rhizobacter_ASV-5","Comamonadaceae","Comam_ASV-5"
