"","ASV","Plant_Species","Compartment","Method","Domain","Phylum","Class","Order","Family","Genus","Species","DADA2_ID"
"1","ASV_320","Arabidopsis_thaliana","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","","1103ca8bb142d451387040be2c4d353b"
"2","ASV_1464","Arabidopsis_thaliana","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","","44a3ce117ff47c43331eab21259fb5c9"
"3","ASV_16","Arabidopsis_thaliana","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","","47e1a48800fe5d17f09e178ed259ae4b"
"4","ASV_616","Arabidopsis_thaliana","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","","c8b70b28b3c5a8f23135035b85ba090a"
"5","ASV_625","Arabidopsis_thaliana","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"c19a7f74111d06c300dd83888ffb8638"
"6","ASV_1210","Arabidopsis_thaliana","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"8967c58b2343596d18409d9ed3d4102e"
"7","ASV_439","Arabidopsis_thaliana","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Paucibacter","","4d6c276ca1a266bbaea4e467e479005d"
"8","ASV_986","Arabidopsis_thaliana","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","6a0216560b4d6af2dd16fc9622a5ad33"
"9","ASV_147","Arabidopsis_thaliana","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","uncultured","","dfb7f84268bec53613d1930382500b1d"
"10","ASV_893","Arabidopsis_thaliana","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","","ae0db65b61013fa05012a20f907f8255"
"11","ASV_503","Arabidopsis_thaliana","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA,"34a572a87f8b16fdecffb4f68c686c96"
"12","ASV_414","Arabidopsis_thaliana","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA,"f35c2380c9cfe5975fb4c88b053209ee"
"13","ASV_502","Arabidopsis_thaliana","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","","23e11dc7250a96682dcf6a6f3efbd4a1"
"14","ASV_818","Arabidopsis_thaliana","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","","f26ed88c10feade3479aaf55da6bdf3f"
"15","ASV_1084","Arabidopsis_thaliana","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA,"ccc33d62630743cef3119e9ab322a4c3"
