"","Domain","Phylum","Class","Order","Family","Genus","Species","DADA2_ID"
"ASV_1","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","","93120265f9c84ff7e35370a1f4336272"
"ASV_2","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","f891ffe52fd7840c43d0dc48be903006"
"ASV_3","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","","3de4340a00daa3c54a849c8f80219b35"
"ASV_4","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","","81534cb32efeefb4c1c22edb94df3a6c"
"ASV_5","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","8302e2e5b5c8bd3f29ccf059eab3b34a"
"ASV_6","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"51fbe3718b46cca351549f2b7972fc7b"
"ASV_7","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA,"9db2817f5c42be6a7bcbca662959982d"
"ASV_8","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA,"2345c975ae95fddd8aa7816acb912ffc"
"ASV_9","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella","","ac59ca7cc131d8d50d0b5cd4e4e266a8"
"ASV_10","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","","c10f089319ce7c050aa0c8e980d33faa"
"ASV_11","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Undibacterium","","ffc549ac99bf71951c036b131f05b86f"
"ASV_12","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"628500afb0bc5d9a9be630c3c214f4a4"
"ASV_13","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","","093998af9033700988a8e840ece36feb"
"ASV_14","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","","2da60a76fa64414fd65bc406896da82a"
"ASV_15","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","","6ce35ed9c44a62a27bdcdd6f9debd13a"
"ASV_16","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","","47e1a48800fe5d17f09e178ed259ae4b"
